"Name","mean_iou","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","ce_weight","dice_weight","ignore_index","lr","max_epochs","min_delta","n_splits","num_classes","num_workers","patience","early_stop/epoch","epoch","fold","fold_1/best_epoch","fold_1/best_iou","fold_1/train_loss","fold_1/val_iou","fold_1/val_loss","fold_2/best_epoch","fold_2/best_iou","fold_2/train_loss","fold_2/val_iou","fold_2/val_loss","fold_3/best_epoch","fold_3/best_iou","fold_3/train_loss","fold_3/val_iou","fold_3/val_loss","fold_4/best_epoch","fold_4/best_iou","fold_4/train_loss","fold_4/val_iou","fold_4/val_loss","fold_5/best_epoch","fold_5/best_iou","fold_5/train_loss","fold_5/val_iou","fold_5/val_loss","median_epoch","std_iou"
"UNet_LR1e-05_CE0_Dice1","0.819299292564392","finished","-","","","2025-12-28T08:49:28.000Z","628","","8","0","1","255","0.00001","30","0.002","5","2","4","7","","30","","27","0.818932294845581","0.15926092592152682","0.8105133175849915","0.13388426389013017","27","0.8146055340766907","0.14661895524371754","0.8164060711860657","0.1331177864755903","29","0.8286486268043518","0.132417170567946","0.8287798166275024","0.12323822719710212","26","0.8274661898612976","0.1357094407081604","0.8266391158103943","0.12262343295982904","25","0.8068438172340393","0.13705928108908913","0.8070987462997437","0.13087058705942972","27","0.008141414913394282"
"UNet_LR1e-05_CE1_Dice0","0.813553786277771","finished","-","","","2025-12-28T08:39:01.000Z","627","","8","1","0","255","0.00001","30","0.002","5","2","4","7","","30","","28","0.8192313313484192","0.2546384399587458","0.8192555904388428","0.2405326302562441","29","0.8078526854515076","0.2512969371947375","0.8076218962669373","0.24124787322112493","30","0.8237952589988708","0.26078414185480636","0.8237952589988708","0.22516439429351265","27","0.8240079879760742","0.2446889877319336","0.8249860405921936","0.21735300230128424","29","0.7928816676139832","0.2950481428341432","0.7944662570953369","0.2702653205820492","29","0.011884878252266846"
"UNet_LR1e-05_CE0.3_Dice0.7","0.8150030493736267","finished","-","","","2025-12-28T08:29:04.000Z","596","","8","0.3","0.7","255","0.00001","30","0.002","5","2","4","7","23","30","4","28","0.8234267234802246","0.18685121454975823","0.823500394821167","0.16644239106348582","30","0.8214600086212158","0.1981686296788129","0.8214600086212158","0.17376582005194255","27","0.828218400478363","0.17560032700950448","0.8294641375541687","0.16005282636199678","16","0.7944386005401611","0.24510759223591197","0.7875583171844482","0.24271553861243383","28","0.807471513748169","0.1871424069458788","0.8083763122558594","0.181819529405662","28","0.012384802765505904"
"UNet_LR1e-05_CE0.7_Dice0.3","0.8123866081237793","finished","-","","","2025-12-28T08:18:37.000Z","627","","8","0.7","0.3","255","0.00001","30","0.002","5","2","4","7","","30","","30","0.8237085342407227","0.2186325964602557","0.8237085342407227","0.19790201101984295","28","0.8071521520614624","0.25332716567949815","0.806883692741394","0.23426843328135355","30","0.8279197216033936","0.23634757074442775","0.8279197216033936","0.19452120470149176","30","0.826460599899292","0.22712298116900703","0.826460599899292","0.2031952813267708","24","0.7766920328140259","0.2705861671404405","0.7743430733680725","0.27318768416132244","30","0.019334130995094047"
"UNet_LR1e-05_CE0.5_Dice0.5","0.8190181732177735","finished","-","","","2025-12-28T00:39:09.000Z","630","","8","0.5","0.5","255","0.00001","30","0.002","5","2","4","7","","30","","30","0.8206208944320679","0.2179070624438199","0.8206208944320679","0.1825371581528868","29","0.8181922435760498","0.1985999847000295","0.8193961381912231","0.18451468965836937","29","0.8256486058235168","0.22977144609798084","0.8172546029090881","0.22143794383321488","27","0.8204866051673889","0.2394400870258158","0.8222205638885498","0.22569911181926727","29","0.8101425170898438","0.19483028596097773","0.81087327003479","0.19689657113381795","29","0.005062550260393269"
"UNet_LR0.0001_CE0_Dice1","0.863736915588379","finished","-","","","2025-12-28T00:28:50.000Z","618","","8","0","1","255","0.0001","30","0.002","5","2","4","7","","30","","27","0.8636672496795654","0.07556564536961642","0.8645024299621582","0.07772839282240186","29","0.8613836765289307","0.07000783356753262","0.8573007583618164","0.07959035464695521","24","0.8660637140274048","0.07633107792247426","0.8656735420227051","0.0785169814314161","28","0.868523359298706","0.06971822326833552","0.8664774894714355","0.08225617451327187","27","0.8590465784072876","0.07698562361977317","0.8402693867683411","0.09264675634247917","27","0.0033426302412942655"
"UNet_LR0.0001_CE1_Dice0","0.869806456565857","finished","-","","","2025-12-28T00:18:31.000Z","618","","8","1","0","255","0.0001","30","0.002","5","2","4","7","","30","","28","0.8728348612785339","0.1313827790997245","0.8586596250534058","0.16884702710168703","26","0.864033579826355","0.12394169907678255","0.8637632131576538","0.16577617238674844","30","0.8759801387786865","0.1323624860156666","0.8759801387786865","0.14148773093308722","28","0.8738952875137329","0.13783045275644823","0.8644799590110779","0.15368444632206643","30","0.8622884154319763","0.13039975653995167","0.8622884154319763","0.16121631594640867","28","0.005547092464152454"
"UNet_LR0.0001_CE0.3_Dice0.7","0.8720782160758972","finished","-","","","2025-12-28T00:08:04.000Z","626","","8","0.3","0.7","255","0.0001","30","0.002","5","2","4","7","","30","","29","0.8742045164108276","0.1013799718835137","0.8723737001419067","0.11178423091769218","27","0.8623448610305786","0.0975566796281121","0.8564049601554871","0.12461659631558827","30","0.8796594738960266","0.09607169275934048","0.8796594738960266","0.10405961477330752","30","0.879960298538208","0.10090371180664408","0.879960298538208","0.1087057436151164","28","0.8642219305038452","0.0980958426540548","0.8608916997909546","0.121925557830504","29","0.007491105000200267"
"UNet_LR0.0001_CE0.7_Dice0.3","0.8694244027137756","finished","-","","","2025-12-27T23:57:42.000Z","621","","8","0.7","0.3","255","0.0001","30","0.002","5","2","4","7","","30","","24","0.8680722713470459","0.1236014645208012","0.8697378635406494","0.14032343828252383","24","0.8608160614967346","0.12363463586026972","0.862246572971344","0.15177589867796218","27","0.8773970007896423","0.12426177060062236","0.8785785436630249","0.12591996948633874","28","0.8740471601486206","0.1213322709907185","0.8690410852432251","0.1423716369484152","26","0.8667895197868347","0.11945923133329912","0.866824209690094","0.14186212686555727","26","0.005793213480639467"
"UNet_LR0.0001_CE0.5_Dice0.5","0.8712783932685852","finished","-","","","2025-12-27T23:47:23.000Z","618","","8","0.5","0.5","255","0.0001","30","0.002","5","2","4","7","","30","","29","0.8680907487869263","0.11169454441829162","0.8481007218360901","0.15131782900009835","26","0.8657225966453552","0.11119088395075365","0.8599848747253418","0.13914046330111368","26","0.8753876686096191","0.11367730037732558","0.8641930818557739","0.1343827939459256","30","0.8817869424819946","0.1177890728820454","0.8817869424819946","0.11861022242477962","27","0.8654040098190308","0.10888404480435632","0.851203203201294","0.1455151624977589","27","0.006369491106385515"
